STATION,NAME,DATE,PRCP,TAVG,TMAX,TMIN
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/1,,80,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/2,,81,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/3,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/4,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/5,0,79,89,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/6,,83,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/7,,82,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/8,,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/9,,79,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/10,0,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/11,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/12,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/13,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/14,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/15,,80,91,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/16,,81,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/17,,82,88,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/18,,85,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/19,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/20,,84,90,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/21,,83,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/22,0.39,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/24,,81,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/25,,78,,71
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/26,,80,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/27,,82,,73
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/28,,81,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/29,,81,,72
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/30,,82,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/1/31,,81,92,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/1,,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/2,,83,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/3,,81,90,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/4,,83,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/5,,83,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/6,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/7,,83,91,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/8,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/9,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/10,,79,,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/11,,85,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/12,,85,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/13,,82,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/14,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/15,,84,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/16,,86,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/17,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/18,0.01,83,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/19,0,76,88,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/20,0.2,76,89,70
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/21,0,82,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/22,,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/23,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/24,0.04,82,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/25,0,84,92,74
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/26,,85,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/27,0,85,,75
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/2/28,,83,,76
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/1,0,83,92,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/2,,83,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/3,,82,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/4,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/5,,85,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/6,,87,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/7,,84,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/8,,85,,77
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/9,,85,92,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/10,,87,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/11,,87,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/12,,85,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/13,,85,,78
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/14,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/15,,87,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/16,0,86,93,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/17,,86,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/18,,85,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/19,,81,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/20,,86,94,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/21,,84,,
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/22,,82,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/23,,84,,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/24,,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/25,,85,,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/26,,87,,80
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/27,0,85,93,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/28,,86,92,79
GHM00065472,"KOTOKA INTERNATIONAL, GH",1990/3/29,0,85,93,80
