Date,Price
27/02/2025,9100
26/02/2025,9090
25/02/2025,8669
24/02/2025,8409
21/02/2025,9106
20/02/2025,9962
19/02/2025,10051
18/02/2025,10124
17/02/2025,10107
14/02/2025,10171
13/02/2025,10338
12/02/2025,10010
11/02/2025,10046
10/02/2025,9714
07/02/2025,9902
06/02/2025,9982
05/02/2025,10431
04/02/2025,10748
03/02/2025,10761
31/01/2025,10722
30/01/2025,10912
29/01/2025,11353
28/01/2025,11109
27/01/2025,11191
24/01/2025,11338
23/01/2025,11235
22/01/2025,11335
21/01/2025,11099
20/01/2025,10849
17/01/2025,10643
16/01/2025,10061
15/01/2025,10250
14/01/2025,10247
13/01/2025,10295
10/01/2025,10013
09/01/2025,10316
08/01/2025,9981
07/01/2025,10682
06/01/2025,10698
03/01/2025,10693
02/01/2025,10580
31/12/2024,10888
30/12/2024,10676
27/12/2024,9545
26/12/2024,10234
24/12/2024,10944
23/12/2024,10969
20/12/2024,11198
19/12/2024,11415
18/12/2024,11985
17/12/2024,11280
16/12/2024,11350
13/12/2024,10816
12/12/2024,10389
11/12/2024,10136
10/12/2024,10125
09/12/2024,9728
06/12/2024,9463
05/12/2024,9459
04/12/2024,9021
03/12/2024,8720
02/12/2024,9073
29/11/2024,9100
28/11/2024,8956
27/11/2024,8785
26/11/2024,8869
25/11/2024,8639
22/11/2024,8672
21/11/2024,8272
20/11/2024,8152
19/11/2024,8165
18/11/2024,7888
15/11/2024,8099
14/11/2024,8435
13/11/2024,7885
12/11/2024,7598
11/11/2024,7200
08/11/2024,7040
07/11/2024,7130
06/11/2024,6692
05/11/2024,6950
04/11/2024,6990
01/11/2024,7018
31/10/2024,6965
30/10/2024,7015
29/10/2024,6912
28/10/2024,6520
25/10/2024,6341
24/10/2024,6264
23/10/2024,6471
22/10/2024,6541
21/10/2024,6721
18/10/2024,6745
17/10/2024,7001
16/10/2024,6940
15/10/2024,7108
14/10/2024,6872
11/10/2024,6907
10/10/2024,6667
09/10/2024,6535
08/10/2024,6216
07/10/2024,6094
04/10/2024,6194
03/10/2024,6125
02/10/2024,6099
01/10/2024,6154
30/09/2024,6491
27/09/2024,6826
26/09/2024,6679
25/09/2024,6526
24/09/2024,6486
23/09/2024,6491
20/09/2024,6438
19/09/2024,6445
18/09/2024,6491
17/09/2024,6356
16/09/2024,6460
13/09/2024,6411
12/09/2024,6353
11/09/2024,6417
10/09/2024,6246
09/09/2024,6446
06/09/2024,6245
05/09/2024,6257
04/09/2024,6053
03/09/2024,6298
02/09/2024,6444
30/08/2024,6518
29/08/2024,6548
28/08/2024,6519
27/08/2024,6563
26/08/2024,6757
23/08/2024,6657
22/08/2024,6614
21/08/2024,6575
20/08/2024,6582
19/08/2024,6478
16/08/2024,6361
15/08/2024,6291
14/08/2024,7190
13/08/2024,7300
12/08/2024,7180
09/08/2024,7543
08/08/2024,6999
07/08/2024,7290
06/08/2024,7056
05/08/2024,6931
02/08/2024,6742
01/08/2024,6731
31/07/2024,7117
30/07/2024,7206
29/07/2024,6953
26/07/2024,7139
25/07/2024,6973
24/07/2024,7372
23/07/2024,7491
22/07/2024,7516
19/07/2024,6961
18/07/2024,7300
17/07/2024,6990
16/07/2024,7114
15/07/2024,7688
12/07/2024,7490
11/07/2024,7601
10/07/2024,7207
09/07/2024,7319
08/07/2024,6990
05/07/2024,7030
04/07/2024,6862
03/07/2024,7011
02/07/2024,6930
01/07/2024,6528
28/06/2024,6777
27/06/2024,6524
26/06/2024,6989
25/06/2024,7038
24/06/2024,7041
21/06/2024,7798
20/06/2024,7931
19/06/2024,8245
18/06/2024,8318
17/06/2024,8192
14/06/2024,9713
13/06/2024,10122
12/06/2024,9868
11/06/2024,9271
10/06/2024,8921
07/06/2024,9196
06/06/2024,9098
05/06/2024,8783
04/06/2024,8896
03/06/2024,8882
31/05/2024,8627
30/05/2024,8595
29/05/2024,8640
28/05/2024,8172
24/05/2024,7825
23/05/2024,7796
22/05/2024,7207
21/05/2024,7038
20/05/2024,6945
17/05/2024,7019
16/05/2024,7059
15/05/2024,7496
14/05/2024,7072
13/05/2024,6882
10/05/2024,8543
09/05/2024,8386
08/05/2024,8379
07/05/2024,8318
06/05/2024,7745
03/05/2024,7788
02/05/2024,7197
01/05/2024,8067
30/04/2024,8860
29/04/2024,8658
26/04/2024,10282
25/04/2024,10474
24/04/2024,10691
23/04/2024,10111
22/04/2024,10640
19/04/2024,10967
18/04/2024,10566
17/04/2024,9671
16/04/2024,9382
15/04/2024,9987
12/04/2024,10526
11/04/2024,10046
10/04/2024,9997
09/04/2024,9780
08/04/2024,9545
05/04/2024,9470
04/04/2024,9177
03/04/2024,9141
02/04/2024,9596
01/04/2024,9717
28/03/2024,9465
27/03/2024,9471
26/03/2024,9361
25/03/2024,9286
22/03/2024,8438
21/03/2024,8091
20/03/2024,7913
19/03/2024,7584
18/03/2024,7755
15/03/2024,7350
14/03/2024,6902
13/03/2024,6617
12/03/2024,6635
11/03/2024,6414
08/03/2024,6148
07/03/2024,6227
06/03/2024,6322
05/03/2024,6257
04/03/2024,6346
01/03/2024,6125
29/02/2024,5932
28/02/2024,5912
27/02/2024,6337
26/02/2024,6402
23/02/2024,6027
22/02/2024,5901
21/02/2024,5863
20/02/2024,5608
19/02/2024,5455
16/02/2024,5341
15/02/2024,5562
14/02/2024,5744
13/02/2024,5794
12/02/2024,5691
09/02/2024,5693
08/02/2024,5645
07/02/2024,5329
06/02/2024,5193
05/02/2024,5120
02/02/2024,4971
01/02/2024,4922
31/01/2024,4798
31/01/2024,10888
30/01/2024,4775
30/01/2024,10676
29/01/2024,4700
26/01/2024,4625
25/01/2024,4583
24/01/2024,4714
23/01/2024,4593
22/01/2024,4573
19/01/2024,4581
18/01/2024,4482
17/01/2024,4468
16/01/2024,4454
15/01/2024,4384
12/01/2024,4348
11/01/2024,4296
10/01/2024,4231
09/01/2024,4171
09/01/2024,4171
08/01/2024,4113
05/01/2024,4234
04/01/2024,4282
03/01/2024,4262
02/01/2024,4290
29/12/2023,4232
28/12/2023,4286
26/12/2023,4293
22/12/2023,4312
21/12/2023,4301
20/12/2023,4304
19/12/2023,4299
18/12/2023,4283
15/12/2023,4272
15/12/2023,4272
14/12/2023,4286
13/12/2023,4242
12/12/2023,4231
11/12/2023,4199
07/12/2023,4218
05/12/2023,4128
04/12/2023,4181
01/12/2023,4231
30/11/2023,4294
29/11/2023,4295
28/11/2023,4241
27/11/2023,4161
24/11/2023,4122
23/11/2023,4114
22/11/2023,4096
21/11/2023,4137
20/11/2023,4074
17/11/2023,4144
16/11/2023,4087
15/11/2023,4042
14/11/2023,4101
13/11/2023,4158
10/11/2023,4114
09/11/2023,4063
08/11/2023,4012
07/11/2023,3982
06/11/2023,4016
03/11/2023,4009
02/11/2023,3960
01/11/2023,3894
31/10/2023,3930
30/10/2023,3939
27/10/2023,3954
26/10/2023,3918
25/10/2023,3848
24/10/2023,3832
23/10/2023,3868
20/10/2023,3795
19/10/2023,3738
18/10/2023,3709
17/10/2023,3724
16/10/2023,3678
13/10/2023,3597
12/10/2023,3582
11/10/2023,3521
10/10/2023,3552
09/10/2023,3504
06/10/2023,3533
05/10/2023,3466
04/10/2023,3489
03/10/2023,3483
02/10/2023,3556
29/09/2023,3480
28/09/2023,3506
27/09/2023,3473
26/09/2023,3540
25/09/2023,3530
22/09/2023,3597
21/09/2023,3588
20/09/2023,3596
19/09/2023,3660
18/09/2023,3647
15/09/2023,3761
14/09/2023,3751
13/09/2023,3751
12/09/2023,3684
11/09/2023,3695
08/09/2023,3686
07/09/2023,3631
06/09/2023,3662
05/09/2023,3660
04/09/2023,3624
01/09/2023,3614
31/08/2023,3657
30/08/2023,3644
29/08/2023,3584
28/08/2023,3504
25/08/2023,3463
24/08/2023,3422
23/08/2023,3410
22/08/2023,3409
21/08/2023,3431
18/08/2023,3419
17/08/2023,3456
16/08/2023,3424
