Date,Price,Open,High,Low,Vol.,Change %
2025/2/27,15.45,15.5,15.53,15.49,,0.00%
2025/2/26,15.45,15.5,15.62,15.465,,0.00%
2025/2/25,15.45,15.5,15.54,15.465,,0.00%
2025/2/24,15.45,15.54,15.925,15.475,,-0.19%
2025/2/21,15.48,15.55,15.56,15.475,,-0.13%
2025/2/20,15.5,15.525,15.56,15.495,,0.00%
2025/2/19,15.5,15.5,15.525,15.485,,0.00%
2025/2/18,15.5,15.475,15.6,15.45,,0.32%
2025/2/17,15.45,15.5,15.9,15.41,,0.32%
2025/2/14,15.4,15.425,15.525,15.4,,0.00%
2025/2/13,15.4,15.45,15.525,15.415,,0.00%
2025/2/12,15.4,15.45,15.5,15.4,,0.00%
2025/2/11,15.4,15.35,15.55,15.35,,0.65%
2025/2/10,15.3,15.415,15.5,15.35,,-0.65%
2025/2/7,15.4,15.4,15.485,15.375,,0.33%
2025/2/6,15.35,15.4,15.5,15.35,,0.00%
2025/2/5,15.35,15.35,15.5,15.3,,0.33%
2025/2/4,15.3,15.35,15.4,15.275,,0.00%
2025/2/3,15.3,15.35,15.4,15.25,,0.33%
2025/1/31,15.25,15.275,15.4,15.2,,-0.33%
2025/1/30,15.3,15.3,15.35,15.175,,0.33%
2025/1/29,15.25,15.2,15.35,15.175,,0.66%
2025/1/28,15.15,15.2,15.285,15.2,,0.00%
2025/1/27,15.15,15.2,15.3105,15.1,,0.00%
2025/1/24,15.15,15.15,15.225,15.025,,0.00%
2025/1/23,15.15,15.175,15.25,15.05,,0.33%
2025/1/22,15.1,15.05,15.225,14.95,,0.67%
2025/1/21,15,15.025,15.3,14.95,,0.00%
2025/1/20,15,14.85,15.075,14.805,,1.35%
2025/1/17,14.8,14.9,15.025,14.775,,-0.67%
2025/1/16,14.9,14.85,15,14.7,,0.68%
2025/1/15,14.8,14.825,14.9,14.7,,0.00%
2025/1/14,14.8,14.825,14.87,14.695,,0.00%
2025/1/13,14.8,14.75,14.865,14.7,,0.34%
2025/1/10,14.75,14.73,14.85,14.725,,0.20%
2025/1/9,14.72,14.775,14.8,14.7,,0.14%
2025/1/8,14.7,14.73,14.805,14.675,,0.14%
2025/1/7,14.68,14.73,14.73,14.7,,0.00%
2025/1/6,14.68,14.7,14.775,14.65,,0.20%
2025/1/3,14.65,14.7,14.9,14.65,,0.00%
2025/1/2,14.65,14.7,14.78,14.65,,0.00%
2025/1/1,14.65,14.65,14.65,14.65,,0.00%
2024/12/31,14.65,14.7,14.725,14.65,,0.00%
2024/12/30,14.65,14.7,14.725,14.65,,0.00%
2024/12/27,14.65,14.65,14.85,14.65,,0.00%
2024/12/26,14.65,14.65,14.65,14.65,,0.00%
2024/12/25,14.65,14.65,14.65,14.65,,0.00%
2024/12/24,14.65,14.7,14.7,14.55,,0.00%
2024/12/23,14.65,14.7,14.765,14.5975,,0.00%
2024/12/20,14.65,14.7,14.725,14.65,,0.00%
2024/12/19,14.65,14.7,14.765,14.6,,0.00%
2024/12/18,14.65,14.69,14.73,14.65,,0.00%
2024/12/17,14.65,14.7,14.805,14.65,,0.00%
2024/12/16,14.65,14.665,14.805,14.65,,-0.17%
2024/12/13,14.675,14.63,14.725,14.63,,0.17%
2024/12/12,14.65,14.65,15.225,14.6,,0.34%
2024/12/11,14.6,14.65,14.82,14.65,,-0.34%
2024/12/10,14.65,14.75,14.895,14.7,,-0.34%
2024/12/9,14.7,14.775,15.375,14.745,,-0.68%
2024/12/6,14.8,14.8,14.8,14.8,,0.00%
2024/12/5,14.8,14.85,15,14.75,,-0.34%
2024/12/4,14.85,15.15,15.65,14.85,,-1.66%
2024/12/3,15.1,15.2,15.26,15.05,,-0.33%
2024/12/2,15.15,15.37,15.735,15.15,,-0.33%
2024/11/29,15.2,15.4,15.45,15.2,,-0.65%
2024/11/28,15.3,15.475,15.625,15.35,,-0.97%
2024/11/27,15.45,15.5,15.915,15.45,,-0.32%
2024/11/26,15.5,15.675,15.91,15.55,,-0.96%
2024/11/25,15.65,15.85,15.925,15.7,,-0.95%
2024/11/22,15.8,15.9,16.0275,15.75,,-0.32%
2024/11/21,15.85,15.9,15.925,15.775,,0.00%
2024/11/20,15.85,15.9,16.1,15.85,,0.00%
2024/11/19,15.85,15.95,16.1,15.85,,-0.31%
2024/11/18,15.9,16.2,16.225,15.875,,-0.31%
